RELATIVE_TIME_SEC,YIELD,DATE
732,0.0,2020-05-16
736,0.0,2020-05-16
740,0.0,2020-05-16
744,0.0,2020-05-16
748,0.0,2020-05-16
752,0.0,2020-05-16
756,0.0,2020-05-16
760,0.0,2020-05-16
764,0.0,2020-05-17
768,0.0,2020-05-17
772,0.0,2020-05-17
776,0.0,2020-05-17
780,0.0,2020-05-17
784,0.0,2020-05-17
788,0.0,2020-05-17
792,0.0,2020-05-17
796,0.0,2020-05-17
800,0.0,2020-05-17
804,0.0,2020-05-17
808,0.0,2020-05-17
812,0.0,2020-05-17
816,0.0,2020-05-17
820,0.0,2020-05-17
824,0.0,2020-05-17
828,0.0,2020-05-17
832,0.0,2020-05-17
836,0.0,2020-05-17
840,0.0,2020-05-17
844,0.0,2020-05-17
848,0.0,2020-05-17
852,0.0,2020-05-17
856,0.0,2020-05-17
860,3.8842424242424234,2020-05-17
864,24.10246753246753,2020-05-17
868,35.91160173160173,2020-05-17
872,42.85867965367965,2020-05-17
876,68.09038961038961,2020-05-17
880,102.15575757575758,2020-05-17
884,185.18497835497834,2020-05-17
888,330.73205627705624,2020-05-17
892,560.441645021645,2020-05-17
896,607.9668398268398,2020-05-17
900,663.390303030303,2020-05-17
904,633.616406926407,2020-05-17
908,721.1208874458875,2020-05-17
912,928.8241774891776,2020-05-17
916,786.396038961039,2020-05-17
920,805.3360606060606,2020-05-17
924,725.7016233766234,2020-05-17
928,610.1804761904762,2020-05-17
932,785.8867099567099,2020-05-17
936,763.1054978354979,2020-05-17
940,687.620303030303,2020-05-17
944,627.1655627705627,2020-05-17
948,549.7881818181818,2020-05-17
952,648.5322077922078,2020-05-17
956,746.773463203463,2020-05-17
960,816.3063636363636,2020-05-17
964,848.7013419913419,2020-05-17
968,840.5655627705629,2020-05-17
972,841.0284848484848,2020-05-17
976,674.2286580086579,2020-05-17
980,446.8478787878788,2020-05-17
984,815.9641341991342,2020-05-17
988,734.3121428571429,2020-05-17
992,781.4428138528139,2020-05-17
996,673.3348484848484,2020-05-17
1000,660.0890909090909,2020-05-17
1004,426.77653679653685,2020-05-17
1008,363.0278787878788,2020-05-17
1012,422.6268398268398,2020-05-17
1016,412.1136363636364,2020-05-17
1020,414.20270562770565,2020-05-17
1024,636.5716283716283,2020-05-17
1028,596.3482900432899,2020-05-17
1032,451.89147186147187,2020-05-17
1036,134.57272727272724,2020-05-17
1040,158.3772510822511,2020-05-17
1044,225.1887662337662,2020-05-17
1048,116.19270562770562,2020-05-17
1052,102.42439393939394,2020-05-17
1056,38.45272727272727,2020-05-17
1060,7.140844155844156,2020-05-17
1064,0.0,2020-05-17
1068,0.0,2020-05-17
1072,0.0,2020-05-17
1076,0.0,2020-05-17
1080,0.0,2020-05-17
1084,0.0,2020-05-17
1088,0.0,2020-05-17
1092,0.0,2020-05-17
1096,0.0,2020-05-17
1100,0.0,2020-05-17
1104,0.0,2020-05-17
1108,0.0,2020-05-17
1112,0.0,2020-05-17
1116,0.0,2020-05-17
1120,0.0,2020-05-17
1124,0.0,2020-05-17
1128,0.0,2020-05-17
1132,0.0,2020-05-17
1136,0.0,2020-05-17
1140,0.0,2020-05-17
1144,0.0,2020-05-17
1148,0.0,2020-05-18
1152,0.0,2020-05-18
1156,0.0,2020-05-18
1160,0.0,2020-05-18
1164,0.0,2020-05-18
1168,0.0,2020-05-18
1172,0.0,2020-05-18
1176,0.0,2020-05-18
1180,0.0,2020-05-18
1184,0.0,2020-05-18
1188,0.0,2020-05-18
1192,0.0,2020-05-18
1196,0.0,2020-05-18
1200,0.0,2020-05-18
1204,0.0,2020-05-18
1208,0.0,2020-05-18
1212,0.0,2020-05-18
1216,0.0,2020-05-18
1220,0.0,2020-05-18
1224,0.0,2020-05-18
1228,0.0,2020-05-18
1232,0.0,2020-05-18
1236,0.0,2020-05-18
1240,0.0,2020-05-18
1244,0.0,2020-05-18
1248,0.0,2020-05-18
1252,0.0,2020-05-18
1256,0.0,2020-05-18
1260,3.76121212121212,2020-05-18
1264,14.463917748917748,2020-05-18
1268,26.967597402597402,2020-05-18
1272,60.120064935064946,2020-05-18
1276,170.16590909090908,2020-05-18
1280,323.7594155844156,2020-05-18
1284,425.2853679653679,2020-05-18
1288,559.3649134199135,2020-05-18
1292,598.5880303030302,2020-05-18
1296,656.6704978354978,2020-05-18
1300,787.9388311688313,2020-05-18
1304,789.9342207792207,2020-05-18
1308,713.6602597402597,2020-05-18
1312,714.7858008658009,2020-05-18
1316,493.63683982683983,2020-05-18
1320,617.0994805194806,2020-05-18
1324,795.5480735930737,2020-05-18
1328,773.5811471861472,2020-05-18
1332,777.8245454545453,2020-05-18
1336,798.2518614718614,2020-05-18
1340,787.0799350649352,2020-05-18
1344,726.4491341991342,2020-05-18
1348,813.2860389610388,2020-05-18
1352,675.5257575757574,2020-05-18
1356,684.0930303030301,2020-05-18
1360,702.9790909090909,2020-05-18
1364,762.5133982683983,2020-05-18
1368,744.0833982683982,2020-05-18
1372,769.0700216450216,2020-05-18
1376,773.0472727272728,2020-05-18
1380,771.5502380952381,2020-05-18
1384,791.9415584415586,2020-05-18
1388,780.2046320346321,2020-05-18
1392,670.3638311688313,2020-05-18
1396,522.2612987012986,2020-05-18
1400,494.67112554112555,2020-05-18
1404,613.2586580086579,2020-05-18
1408,558.6309956709957,2020-05-18
1412,386.03510822510816,2020-05-18
1416,266.4910173160174,2020-05-18
1420,249.1454545454545,2020-05-18
1424,193.12538961038956,2020-05-18
1428,125.0543506493506,2020-05-18
1432,79.09638528138528,2020-05-18
1436,52.300627705627704,2020-05-18
1440,26.320909090909087,2020-05-18
1444,6.089588744588744,2020-05-18
1448,0.0,2020-05-18
1452,0.0,2020-05-18
1456,0.0,2020-05-18
1460,0.0,2020-05-18
1464,0.0,2020-05-18
1468,0.0,2020-05-18
1472,0.0,2020-05-18
1476,0.0,2020-05-18
1480,0.0,2020-05-18
1484,0.0,2020-05-18
1488,0.0,2020-05-18
1492,0.0,2020-05-18
1496,0.0,2020-05-18
1500,0.0,2020-05-18
1504,0.0,2020-05-18
1508,0.0,2020-05-18
1512,0.0,2020-05-18
1516,0.0,2020-05-18
1520,0.0,2020-05-18
1524,0.0,2020-05-18
1528,0.0,2020-05-18
1532,0.0,2020-05-19
1536,0.0,2020-05-19
1540,0.0,2020-05-19
1544,0.0,2020-05-19
1548,0.0,2020-05-19
1552,0.0,2020-05-19
1556,0.0,2020-05-19
1560,0.0,2020-05-19
1564,0.0,2020-05-19
1568,0.0,2020-05-19
1572,0.0,2020-05-19
1576,0.0,2020-05-19
1580,0.0,2020-05-19
1584,0.0,2020-05-19
1588,0.0,2020-05-19
1592,0.0,2020-05-19
1596,0.0,2020-05-19
1600,0.0,2020-05-19
1604,0.0,2020-05-19
1608,0.0,2020-05-19
1612,0.0,2020-05-19
1616,0.0,2020-05-19
1620,0.0,2020-05-19
1624,0.0,2020-05-19
1628,8.306038961038961,2020-05-19
1632,49.19012987012988,2020-05-19
1636,82.32000000000001,2020-05-19
1640,119.25764069264065,2020-05-19
1644,146.9538095238095,2020-05-19
1648,327.715735930736,2020-05-19
1652,465.79863636363643,2020-05-19
1656,445.53939393939396,2020-05-19
1660,435.8601515151515,2020-05-19
1664,460.35753246753245,2020-05-19
1668,499.1365151515152,2020-05-19
1672,327.67629870129866,2020-05-19
1676,636.3272727272725,2020-05-19
1680,418.3791341991342,2020-05-19
1684,339.5642424242424,2020-05-19
1688,328.47372294372286,2020-05-19
1692,374.76980519480526,2020-05-19
1696,156.09218614718614,2020-05-19
1700,763.7163636363638,2020-05-19
1704,710.8064069264069,2020-05-19
1708,725.7024675324676,2020-05-19
1712,755.3317316017315,2020-05-19
1716,703.9583766233765,2020-05-19
1720,733.1339393939394,2020-05-19
1724,735.298787878788,2020-05-19
1728,754.8246753246754,2020-05-19
1732,691.420303030303,2020-05-19
1736,731.3297619047619,2020-05-19
1740,737.1239826839827,2020-05-19
1744,785.6058008658008,2020-05-19
1748,762.4940476190477,2020-05-19
1752,688.7112121212122,2020-05-19
1756,727.8182251082252,2020-05-19
1760,828.2377272727274,2020-05-19
1764,713.5162554112553,2020-05-19
1768,667.9527272727272,2020-05-19
1772,543.3209090909093,2020-05-19
1776,347.9511255411256,2020-05-19
1780,164.1193939393939,2020-05-19
1784,82.44825174825175,2020-05-19
1788,33.20340909090909,2020-05-19
1792,81.53376623376623,2020-05-19
1796,37.00181818181818,2020-05-19
1800,21.548787878787877,2020-05-19
1804,6.632121212121212,2020-05-19
1808,0.0,2020-05-19
1812,0.0,2020-05-19
1816,0.0,2020-05-19
1820,1.664242424242424,2020-05-19
1824,0.7772727272727273,2020-05-19
1828,0.0,2020-05-19
1832,0.0,2020-05-19
1836,0.0,2020-05-19
1840,0.0,2020-05-19
1844,0.0,2020-05-19
1848,0.0,2020-05-19
1852,0.0,2020-05-19
1856,0.0,2020-05-19
1860,0.0,2020-05-19
1864,0.0,2020-05-19
1868,0.0,2020-05-19
1872,0.0,2020-05-19
1876,0.0,2020-05-19
1880,0.0,2020-05-19
1884,0.0,2020-05-19
1888,0.0,2020-05-19
1892,0.0,2020-05-19
1896,0.0,2020-05-19
1900,0.0,2020-05-19
1904,0.0,2020-05-19
1908,0.0,2020-05-19
1912,0.0,2020-05-20
1916,0.0,2020-05-20
1920,0.0,2020-05-20
1924,0.0,2020-05-20
1928,0.0,2020-05-20
1932,0.0,2020-05-20
1936,0.0,2020-05-20
1940,0.0,2020-05-20
1944,0.0,2020-05-20
1948,0.0,2020-05-20
1952,0.0,2020-05-20
1956,0.0,2020-05-20
1960,0.0,2020-05-20
1964,0.0,2020-05-20
1968,0.0,2020-05-20
1972,0.0,2020-05-20
1976,0.0,2020-05-20
1980,0.0,2020-05-20
1984,0.0,2020-05-20
1988,0.0,2020-05-20
1992,0.0,2020-05-20
1996,0.0,2020-05-20
2000,0.0,2020-05-20
2004,0.0,2020-05-20
2008,15.212777777777776,2020-05-20
2012,41.74067460317461,2020-05-20
2016,71.53583333333334,2020-05-20
2020,111.12555555555555,2020-05-20
2024,146.5577777777778,2020-05-20
2028,236.1005555555555,2020-05-20
2032,375.8865873015872,2020-05-20
2036,460.60055555555556,2020-05-20
2040,505.3494444444445,2020-05-20
2044,539.4427777777777,2020-05-20
2048,676.3741666666667,2020-05-20
2052,696.8545634920634,2020-05-20
2056,769.3723809523808,2020-05-20
2060,763.4888888888889,2020-05-20
2064,739.6827777777779,2020-05-20
2068,716.9436507936507,2020-05-20
2072,663.5975793650792,2020-05-20
2076,456.72166666666675,2020-05-20
2080,298.77777777777777,2020-05-20
2084,313.62888888888887,2020-05-20
2088,303.9770238095238,2020-05-20
2092,314.53837301587305,2020-05-20
2096,316.3655555555556,2020-05-20
2100,328.46111111111105,2020-05-20
2104,438.2627777777778,2020-05-20
2108,476.1541666666667,2020-05-20
2112,429.6295634920636,2020-05-20
2116,429.71611111111116,2020-05-20
2120,425.1122222222222,2020-05-20
2124,421.3983333333333,2020-05-20
2128,401.3233333333333,2020-05-20
2132,393.64444444444445,2020-05-20
2136,393.8486111111111,2020-05-20
2140,710.4193181818182,2020-05-20
2144,760.849393939394,2020-05-20
2148,766.1190909090907,2020-05-20
2152,892.1796969696969,2020-05-20
2156,867.410303030303,2020-05-20
2160,851.7839393939394,2020-05-20
2164,778.4671645021645,2020-05-20
2168,604.8337662337663,2020-05-20
2172,449.02000000000004,2020-05-20
2176,364.8115151515151,2020-05-20
2180,357.95363636363635,2020-05-20
2184,308.5905627705628,2020-05-20
2188,273.8084848484848,2020-05-20
2192,235.88095238095238,2020-05-20
2196,165.2257575757576,2020-05-20
2200,104.6439393939394,2020-05-20
2204,52.49448051948052,2020-05-20
2208,15.383484848484853,2020-05-20
2212,0.0,2020-05-20
2216,0.0,2020-05-20
2220,0.0,2020-05-20
2224,0.0,2020-05-20
2228,0.0,2020-05-20
2232,0.0,2020-05-20
2236,0.0,2020-05-20
2240,0.0,2020-05-20
2244,0.0,2020-05-20
2248,0.0,2020-05-20
2252,0.0,2020-05-20
2256,0.0,2020-05-20
2260,0.0,2020-05-20
2264,0.0,2020-05-20
2268,0.0,2020-05-20
2272,0.0,2020-05-20
2276,0.0,2020-05-20
2280,0.0,2020-05-20
2284,0.0,2020-05-20
2288,0.0,2020-05-20
2292,0.0,2020-05-20
2296,0.0,2020-05-21
2300,0.0,2020-05-21
2304,0.0,2020-05-21
2308,0.0,2020-05-21
2312,0.0,2020-05-21
2316,0.0,2020-05-21
2320,0.0,2020-05-21
2324,0.0,2020-05-21
2328,0.0,2020-05-21
2332,0.0,2020-05-21
2336,0.0,2020-05-21
2340,0.0,2020-05-21
2344,0.0,2020-05-21
2348,0.0,2020-05-21
2352,0.0,2020-05-21
2356,0.0,2020-05-21
2360,0.0,2020-05-21
2364,0.0,2020-05-21
2368,0.0,2020-05-21
2372,0.0,2020-05-21
2376,0.0,2020-05-21
2380,0.0,2020-05-21
2384,0.0,2020-05-21
2388,0.0,2020-05-21
2392,12.32730158730159,2020-05-21
2396,44.80357142857143,2020-05-21
2400,86.61603174603175,2020-05-21
2404,130.07851851851854,2020-05-21
2408,179.43031746031744,2020-05-21
2412,237.94156084656086,2020-05-21
2416,337.13148148148144,2020-05-21
2420,397.65555555555557,2020-05-21
2424,452.0918518518518,2020-05-21
2428,566.881746031746,2020-05-21
2432,645.151693121693,2020-05-21
2436,672.3281746031747,2020-05-21
2440,728.8985185185184,2020-05-21
2444,771.2837037037038,2020-05-21
2448,749.7880687830689,2020-05-21
2452,472.3296296296296,2020-05-21
2456,136.16571428571427,2020-05-21
2460,552.5262433862432,2020-05-21
2464,517.0962962962963,2020-05-21
2468,451.91148148148164,2020-05-21
2472,524.1754497354498,2020-05-21
2476,683.1629629629629,2020-05-21
2480,701.4337037037038,2020-05-21
2484,706.4514814814814,2020-05-21
2488,684.4655555555555,2020-05-21
2492,650.7642857142857,2020-05-21
2496,646.3496296296295,2020-05-21
2500,645.1018518518517,2020-05-21
2504,674.8318518518519,2020-05-21
2508,670.174074074074,2020-05-21
2512,1071.8166666666666,2020-05-21
2516,1127.3158201058202,2020-05-21
2520,1096.294074074074,2020-05-21
2524,1073.3659259259261,2020-05-21
2528,1056.7611375661374,2020-05-21
2532,983.2859523809524,2020-05-21
2536,949.9394708994708,2020-05-21
2540,870.1729629629629,2020-05-21
2544,650.3425925925926,2020-05-21
2548,653.0888359788358,2020-05-21
2552,637.8966666666666,2020-05-21
2556,534.2650529100529,2020-05-21
2560,525.4011111111112,2020-05-21
2564,415.9033333333334,2020-05-21
2568,354.8358730158731,2020-05-21
2572,275.58150793650793,2020-05-21
2576,196.34867724867726,2020-05-21
2580,125.85407407407408,2020-05-21
2584,74.14518518518518,2020-05-21
2588,38.44055555555556,2020-05-21
2592,10.277328042328042,2020-05-21
2596,0.0,2020-05-21
2600,0.0,2020-05-21
2604,0.0,2020-05-21
2608,0.0,2020-05-21
2612,0.0,2020-05-21
2616,0.0,2020-05-21
2620,0.0,2020-05-21
2624,0.0,2020-05-21
2628,0.0,2020-05-21
2632,0.0,2020-05-21
2636,0.0,2020-05-21
2640,0.0,2020-05-21
2644,0.0,2020-05-21
2648,0.0,2020-05-21
2652,0.0,2020-05-21
2656,0.0,2020-05-21
2660,0.0,2020-05-21
2664,0.0,2020-05-21
2668,0.0,2020-05-21
2672,0.0,2020-05-21
